file,text
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000001.wav,"好,在座的各位先進大家好,我是清梅院智慧老周新劉中豐主任"
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000002.wav,那很高興來跟各位分享我們的一個研發的成果
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000003.wav,"好,以下是有這6個來跟各位報告"
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000004.wav,那我們的整個研發團隊是由我們林鴻龍院長來帶領
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000005.wav,他也是一個急診的專家
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000006.wav,那包含我們的額科部、外科部、急診的團隊
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000007.wav,智慧老周新還有智慧市是我們整個的研發的陣容
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000008.wav,那我們的大數據是來自於三院區的資料
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000009.wav,那三院區的資料我們平均一天會有大約600人次的急診量
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000010.wav,"那三院加起來,他永康大約有300人次"
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000011.wav,所以我們資料量是在南部算很大的
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000012.wav,那我們的方法就是用比較一般通用的
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000013.wav,比較穩定的研究方法來建立我們的預測模型
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000014.wav,那目前我們在急診總共發展了八大類的
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000015.wav,"個人患的病情預測,包含高齡流感、胸痛、遺脹炎、高血糖微症、"
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000016.wav,登革樂、肺炎、腦創傷、發燒
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000017.wav,那每類病人他有有幾個預測的outcome
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000018.wav,比如說胸痛病人我們預測他一個月內會發生心肌梗塞
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000019.wav,一個月內會死亡的風險
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000020.wav,那發燒菌血症有預測他菌血症轉ICU或死亡的風險
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000021.wav,那我們的開發是採用web service的技術
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000022.wav,可以很容易的跟各醫院的急診系統來做無碰的接軌
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000023.wav,"那以我們驗為例,我們目前在三院區都可以同時使用這樣的系統"
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000024.wav,那這個AI預測的功能
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000025.wav,除了我們知道說可以提升醫療品質之外
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000026.wav,更重要是我們可以透過AI的輔助知道哪些病人是屬於高風險
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000027.wav,優先投入必要的醫療資源
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000028.wav,因為畢竟醫療資源是有限的
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000029.wav,那這個用圖可能比也是很重要的
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000030.wav,另外通常透過這樣的圖形化界面
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000031.wav,我們可以很容易跟病人來解釋病情
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000032.wav,讓他們可以比較放心
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000033.wav,那這就是我們一個案例
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000034.wav,以預測胸痛病人他一個月發生心肌梗塞或死亡的風險
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000035.wav,用圖形方式來呈現
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000036.wav,那這個機率的解讀就是大於50%是傾向於發生
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000037.wav,小於50%傾向不會發生這樣的結果
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000038.wav,那我們也提供互動的功能
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000039.wav,就是一開始你可以預測這個病人的風險可能很高
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000040.wav,比如說像這個肺炎病人他的死亡功險是66%
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000041.wav,那藥團隊這時候就要趕快決定說
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000042.wav,那這麼多的病況不好
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000043.wav,那哪一個生理的數據呢
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000044.wav,優先改善呢
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000045.wav,他可以讓他可以避免到高風險的死亡率
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000046.wav,比如說他的聚血史如果說我們把他提升
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000047.wav,然後他的血壓把他提高
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000048.wav,那這樣子的變化呢
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000049.wav,會不會造成他預後的改變
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000050.wav,那以這個為例他的死亡率呢
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000051.wav,就會降低
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000052.wav,敗血症點降低了
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000053.wav,那藥團隊就可以依照這樣的結果呢
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000054.wav,可以優先給病人一些比如說生壓劑或是一些處理
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000055.wav,那這對臨床來說是很有張口價值
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000056.wav,那另外我們也結合IoT的技術
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000057.wav,可以及時的
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000058.wav,擷取我們一些VitroSight的資料
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000059.wav,來做連續性的預設
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000060.wav,因為病人的病況是一直在改變
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000061.wav,那如果說這個病人的病況一直呈現
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000062.wav,風險越來越高
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000063.wav,那我們知道說這個比較危險
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000064.wav,那如果說當然風險越來越低
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000065.wav,那我們可以說這個病人會比較安全
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000066.wav,那這個連續性的預測對我們來說也有張口價值
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000067.wav,那最後我們把這八大類的個人預測呢
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000068.wav,我們把
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000069.wav,結合做成一個儀表版
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000070.wav,我們除了可以個人預測之外
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000071.wav,我們這儀表版的好處是說
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000072.wav,我們可以當場把目前在我們急診室的所有病人
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000073.wav,符合這八大類的疾病的風險的情況
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000074.wav,都把它秀出來
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000075.wav,以這個為例
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000076.wav,在這一天的此時此刻呢
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000077.wav,總共有三四個病人符合這八大類的病情
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000078.wav,然後呢
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000079.wav,即算有七個是屬於高風險
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000080.wav,高風險就是說
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000081.wav,他某一個預測結果是大於50%
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000082.wav,這屬於高風險
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000083.wav,那這樣的儀表版呢
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000084.wav,讓我們的醫療團隊很容易知道說
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000085.wav,現場的這些
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000086.wav,病人呢哪些屬於高風險
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000087.wav,哪些是比一般風險
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000088.wav,那高風險的人
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000089.wav,我們可能要投入更多的醫療
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000090.wav,醫療資源或醫療人員去觀察
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000091.wav,去關心
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000092.wav,那一般風險我們就一般的步驟來處理
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000093.wav,那這樣可以對我們很容易掌握整個
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000094.wav,我們急診室的現況
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000095.wav,那整個系統呢
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000096.wav,我們有幾個模式可以提供
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000097.wav,包含我們可以把這整套AI
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000098.wav,那個提供給其他院使用
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000099.wav,或者呢
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000100.wav,我們可以幫助其他院來訓練他們的模型
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000101.wav,那我們也提供一個雲端平台
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000102.wav,讓其他院呢
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000103.wav,把這個預測的參數傳給我們
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000104.wav,那我們把預測結果傳給他們
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000105.wav,那以雲端平台為例呢
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000106.wav,我們目前呢
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000107.wav,跟新樓醫院
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000108.wav,是一個完全跟我們不一樣的醫院
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000109.wav,來實現這樣的雲端分享的方式
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000110.wav,我們目前做到
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000111.wav,胸痛病人的病情預測
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000112.wav,還有肺炎病人的病情預測
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000113.wav,那以這為例
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000114.wav,新樓醫院麻作分院的
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000115.wav,的病人
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000116.wav,如果說他是一個胸痛病人
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000117.wav,他把我們必要的這20個參數呢
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000118.wav,透過雲端的方式傳給我們的平台
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000119.wav,那我們平台呢
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000120.wav,會呼叫我們自己的AI
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000121.wav,來算出他的風險
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000122.wav,然後再傳給麻作分院
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000123.wav,那他們就可以得到這個病人的
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000124.wav,的風險程度
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000125.wav,然後可以做一個後續的妥善的處置
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000126.wav,那這是一個雲端院做的分享的模式
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000127.wav,那我們覺得這個模式是蠻適合
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000128.wav,一些中小型醫院
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000129.wav,他們沒有
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000130.wav,AI開發的環境或是資源
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000131.wav,那很容易透過AI分享方式
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000132.wav,來接收到我們大醫院的服務
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000133.wav,就好像
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000134.wav,青梅院呢
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000135.wav,可以走遍那個各種偏鄉離島一樣
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000136.wav,那使用AI的預測呢
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000137.wav,我們也收集到一些初步的成果
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000138.wav,都覺得還蠻不錯的
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000139.wav,我們觀察一些
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000140.wav,有用AI的
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000141.wav,的病人跟沒有用AI的病人
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000142.wav,一些一些指標都有改善
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000143.wav,比如說死亡率有15的下降啊
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000144.wav,半血症有15的下降等等
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000145.wav,一分鐘可以嗎
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000146.wav,謝謝
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000147.wav,謝謝
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000148.wav,那其他也有一些
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000149.wav,進步
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000150.wav,那這整套系統我們有發明
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000151.wav,我們獲得發明專利
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000152.wav,那也發表到很多論文
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000153.wav,說我們的模型是經得起那個
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000154.wav,學術的考驗
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000155.wav,那也獲得很多獎項
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000156.wav,包含國家新創獎
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000157.wav,還有一些其他獎項
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000158.wav,那也去發表
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000159.wav,在學衛發表也獲得很多的肯定
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000160.wav,那
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000161.wav,我們
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000162.wav,除了這急診之外呢
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000163.wav,我也花一點時間跟各位報告
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000164.wav,目前
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000165.wav,青梅院呢
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000166.wav,我開發至少30類的這種
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000167.wav,個性的
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000168.wav,的那個病人的風險預測
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000169.wav,包含急診部的麻醉的麻醉風險
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000170.wav,呼吸照護的風險
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000171.wav,生殖遺血的懷孕率的預測
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000172.wav,生產病的透析的風險預測
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000173.wav,小藥科的預測等等
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000174.wav,那歡迎各位如果有興趣
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000175.wav,也可以跟我們聯絡
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000176.wav,那我們也很適合當各位的一個
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000177.wav,藏醫院證的平台
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper\Data\segments\000178.wav,以上報告謝謝
